entry_order,unique_ID,article_citation,last_name,pub_year,pub_name,search_where,doi,data_type,continent,spatial_scale,study_system,page_no,input_where_did_they_cite_data,input_data_name,input_data_form,input_how_to_access,input_citation_for_data,input_link_to_data,synthSourceCount,gt1ExceptionRule,input_storage_location,input_what_repository,input_data_distance,input_DOI_to_data,input_available_on_data_one,output_storage_location,output_what_repository,output_data_distance,output_DOI_to_data,notes
1,hamilton_2017_biologicalconservation,"Hamilton, R. J., et al. (2017). ""Logging degrades nursery habitat for an iconic coral reef fish."" Biological Conservation 210: 273-280.",Hamilton,2017,biological conservation,NCEAS,10.1016/j.biocon.2017.04.024,secondary,oceania,local,island,4,methods (general),Millennium Coral Reef Mapping Project,database,article,"Andrefouet et al., 2006",NA,1,unique,article,Millennium Coral Reef Mapping Project,2,NA,,NA,NA,not accessible,NA,"went to paper, then to link and link was broken"
2,griscom_2016_plos,"Griscom, B. W., Ellis, P. W., Baccini, A., Marthinus, D., & Evans, J. S. (2016). Synthesizing global and local datasets to estimate jurisdictional forest carbon fluxes in Berau, Indonesia. PloS one, 11(1), e0146357.",Griscom,2016,PLoS,NCEAS,10.1371/journal.pone.0146357,secondary,asia,country,forest,4,methods (general),High-Resolution Global Maps of 21st-Century Forest Cover Change,spatial,article,"Hansen MC, Potapov PV, Moore R, Hancher M, Turubanova SA, Tyukavina A, et al. High-resolutionglobal maps of 21st-century forest cover change. Science. 2013; 342: 850–853. doi: 10.1126/science.1244693 PMID: 24233722",NA,1,unique,article,NA,2,NA,,repo,Knowledge Network for Biocomplexity,1,https://knb.ecoinformatics.org/#view/doi:10.5063/F18W3B8R,
3,griscom_2016_plos,"Griscom, B. W., Ellis, P. W., Baccini, A., Marthinus, D., & Evans, J. S. (2016). Synthesizing global and local datasets to estimate jurisdictional forest carbon fluxes in Berau, Indonesia. PloS one, 11(1), e0146357.",Griscom,2016,PLoS,NCEAS,10.1371/journal.pone.0146357,secondary,asia,country,forest,4,methods (general),"Estimation of LULCF carbon emissions of Berau district, East Kalimantan: Report to The Nature Conservancy",spatial,article,"Dewi S, Ekadinata A, Said Z, Sunekti R, Pamgudhi F. Estimation of LULCF carbon emissions of Berau district, East Kalimantan: Report to The Nature Conservancy. Bogor, Indonesia; 2011.",NA,1,unique,article,The Nature Conservancy,2,NA,,repo,Knowledge Network for Biocomplexity,1,https://knb.ecoinformatics.org/#view/doi:10.5063/F18W3B8R,
4,griscom_2016_plos,"Griscom, B. W., Ellis, P. W., Baccini, A., Marthinus, D., & Evans, J. S. (2016). Synthesizing global and local datasets to estimate jurisdictional forest carbon fluxes in Berau, Indonesia. PloS one, 11(1), e0146357.",Griscom,2016,PLoS,NCEAS,10.1371/journal.pone.0146357,secondary,asia,country,forest,4,methods (general),forclime,spatial,article,"Navratil P. Land Cover Situation and Land-Use Change in the Districts of West Kalimantan and East Kalimantan, Indonesia [Internet]. Jakarta, Indonesia: Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH FORCLIME Forests and Climate Change Programme; 2013. Available: http://www.forclime.org/documents/publications/forclime/RSS_Eng_Final_web.pdf",http://forclime.org/index.php/en/,1,unique,article,forclime,2,NA,,repo,Knowledge Network for Biocomplexity,1,https://knb.ecoinformatics.org/#view/doi:10.5063/F18W3B8R,
5,griscom_2016_plos,"Griscom, B. W., Ellis, P. W., Baccini, A., Marthinus, D., & Evans, J. S. (2016). Synthesizing global and local datasets to estimate jurisdictional forest carbon fluxes in Berau, Indonesia. PloS one, 11(1), e0146357.",Griscom,2016,PLoS,NCEAS,10.1371/journal.pone.0146357,secondary,asia,country,forest,4,methods (general),Klasifikasi Penutup Lahan,database,link (working),"SNI. Klasifikasi Penutup Lahan (Land Cover Classification), Vol. SNI 7645 [Internet]. Jakarta, Indonesia; 2010. Available: http://appgis.dephut.go.id/appgis/kml.aspx",http://appgis.dephut.go.id/appgis/kml.aspx,1,unique,gov_repo,Indonesian Ministry of Forestry,1,NA,,repo,Knowledge Network for Biocomplexity,1,https://knb.ecoinformatics.org/#view/doi:10.5063/F18W3B8R,
6,griscom_2016_plos,"Griscom, B. W., Ellis, P. W., Baccini, A., Marthinus, D., & Evans, J. S. (2016). Synthesizing global and local datasets to estimate jurisdictional forest carbon fluxes in Berau, Indonesia. PloS one, 11(1), e0146357.",Griscom,2016,PLoS,NCEAS,10.1371/journal.pone.0146357,secondary,asia,country,forest,4,methods (general),10m SPOT resolution color infrared imagery,spatial,link,CNES. 10m SPOT resolution color infrared imagery. [Internet]. CNES 2011; 2011. Available: http://www.geo-airbusds.com/,http:// www.geo-airbusds.com/,1,unique,website,NA,2,NA,,repo,Knowledge Network for Biocomplexity,1,https://knb.ecoinformatics.org/#view/doi:10.5063/F18W3B8R,
7,griscom_2016_plos,"Griscom, B. W., Ellis, P. W., Baccini, A., Marthinus, D., & Evans, J. S. (2016). Synthesizing global and local datasets to estimate jurisdictional forest carbon fluxes in Berau, Indonesia. PloS one, 11(1), e0146357.",Griscom,2016,PLoS,NCEAS,10.1371/journal.pone.0146357,secondary,asia,country,forest,5,methods (general),global forest biomass,spatial,article,"Baccini A, Goetz SJ, Walker WS, Laporte NT, Sun M, Sulla-Menashe D, et al. Estimated carbon dioxideemissions from tropical deforestation improved by carbon-density maps. Nat Clim Chang. 2012; 2:182–185.",NA,1,unique,article,NA,not accessible,NA,,repo,Knowledge Network for Biocomplexity,1,https://knb.ecoinformatics.org/#view/doi:10.5063/F18W3B8R,authors cited themselves
8,griscom_2016_plos,"Griscom, B. W., Ellis, P. W., Baccini, A., Marthinus, D., & Evans, J. S. (2016). Synthesizing global and local datasets to estimate jurisdictional forest carbon fluxes in Berau, Indonesia. PloS one, 11(1), e0146357.",Griscom,2016,PLoS,NCEAS,10.1371/journal.pone.0146357,secondary,asia,country,forest,5,methods (general),global forest biomass,spatial,article,"Saatchi SS, Harris NL, Brown S, Lefsky M, Mitchard ET, Salas W, et al. Benchmark map of forest carbonstocks in tropical regions across three continents. PNAS. 2011; 108: 9899–9904. doi: 10.1073/pnas.1019576108 PMID: 21628575",NA,1,unique,article,NA,2,NA,,repo,Knowledge Network for Biocomplexity,1,https://knb.ecoinformatics.org/#view/doi:10.5063/F18W3B8R,
9,ryan_2015_ecosphere,"Ryan, Sadie J., Tal Ben-Horin, and Leah R. Johnson. ""Malaria control and senescence: the importance of accounting for the pace and shape of aging in wild mosquitoes."" Ecosphere 6.9 (2015): 1-13.",Ryan,2015,ecosphere,NCEAS,10.1890/es15-00094.1,primary,africa,regional,NA,table 1,table,mosquito lifespan data,article,ask reader to contact author,NA,NA,NA,unique,person,NA,not accessible,NA,,repo,figshare,1,https://doi.org/10.6084/m9.figshare.3564063.v1,
10,ryan_2015_ecosphere,"Ryan, Sadie J., Tal Ben-Horin, and Leah R. Johnson. ""Malaria control and senescence: the importance of accounting for the pace and shape of aging in wild mosquitoes."" Ecosphere 6.9 (2015): 1-13.",Ryan,2015,ecosphere,NCEAS,10.1890/es15-00094.1,primary,africa,regional,NA,table 1,table,mosquito lifespan data,article,article,"Briegel, H., and C. Kaiser. 1973. Life-span of mosquitoes(Culicidae, Diptera) under laboratory conditions.Gerontology 19:240–249",NA,1,unique,article,NA,2,NA,,repo,figshare,1,https://doi.org/10.6084/m9.figshare.3564063.v1,
